Normal Walking,,,,Dorsi Walking,,,,Plantar Walking,,,
F1,F2,F3,F4,F1,F2,F3,F4,F1,F2,F3,F4
1.36,1.268179205,174.8224442,-114.5755429,1.44,1.012571202,181.9356521,-104.1765162,1.16,1.035821561,227.7957642,-133.7081703
1.35,1.270819843,153.3765825,-125.2718965,1.36,1.158471996,195.1786475,-108.1375932,1.17,1.4053144,227.4020921,-131.6701984
1.33,1.005702358,181.3217686,-120.3915597,1.42,1.502774351,206.2129938,-118.2201278,1.15,1.505734276,221.0878768,-137.5724481
1.38,1.25477231,151.1516062,-112.0974891,1.4,1.30449323,199.7049981,-110.1828674,1.11,1.578968907,237.7623529,-142.0770007
1.34,1.242916318,178.6873986,-113.127174,1.4,1.994987287,199.7904645,-112.368722,1.14,2.085079489,215.7978932,-137.7754614
1.38,1.35404671,149.0158254,-99.74966825,1.43,1.692481538,175.4154544,-107.093888,1.17,1.793374321,205.471087,-124.8066117
1.42,1.34609135,157.042332,-104.3759082,1.4,1.629694789,210.8287706,-116.547768,1.11,1.79884015,219.7592277,-130.300913
1.38,1.148063535,198.780939,-99.75019768,1.42,1.427742387,198.0004205,-106.0837062,1.15,1.756158255,214.7785183,-136.4964202
1.37,1.059137587,192.4059884,-98.04969248,1.41,1.907504123,207.2597197,-113.3805475,1.18,2.245050189,216.825863,-127.6963149
1.35,1.152451614,176.7307195,-106.0490269,1.44,1.275753938,206.678621,-100.5248846,1.13,1.44010691,216.094252,-130.1504208
1.41,1.354224614,172.8476455,-113.4611438,1.4,1.894697296,204.9044502,-116.2134777,1.16,2.005469461,226.9126617,-133.4201359
1.37,1.203297288,169.682211,-122.1511037,1.42,1.797261123,212.1126211,-106.560209,1.16,1.942006232,224.5837665,-125.3471091
1.39,1.367309094,174.3735524,-114.0304671,1.4,1.989015552,210.9102429,-116.5130637,1.16,2.062114769,222.3386071,-133.3184906
1.33,1.246372229,184.5302876,-125.8929129,1.4,1.60865696,212.3501193,-118.4001823,1.15,1.633874572,239.4317499,-137.7638717
1.32,0.870796285,187.1539821,-116.1512828,1.35,1.889823973,213.9587837,-117.1839023,1.13,2.182114165,234.2666715,-141.6138448
1.37,0.722278233,176.272082,-114.4351273,1.39,1.94294271,223.6206278,-115.6737025,1.15,2.307370279,234.7271616,-134.0041844
1.34,0.9547216,171.4894692,-110.7338117,1.52,2.082964087,203.4896995,-101.4300622,1.14,2.321898045,234.2257676,-142.7911411
1.34,1.327955637,166.2987743,-103.2517374,1.42,1.574419853,216.8162357,-103.8003378,1.15,1.582909704,224.8925866,-131.179292
1.41,0.998954531,153.5505588,-104.2552388,1.45,1.250114766,214.7677407,-97.71833938,1.16,1.427942455,219.0246332,-131.150698
1.4,1.583888444,174.8827155,-109.8294385,1.39,1.672164891,212.8328482,-98.96248026,1.16,1.985311147,227.5084612,-140.1077501
1.4,1.446118725,164.4202078,-111.4892982,1.38,1.427829525,215.4878063,-118.5321384,1.16,1.612507513,231.3816462,-134.7364624
1.33,1.557572329,166.6653482,-119.4181586,1.35,1.798373404,205.8914186,-131.6315975,1.18,1.995538203,224.4049639,-135.7157884
1.39,1.474505989,175.6433156,-109.2951718,1.4,1.565838289,221.4406691,-121.2103831,1.17,1.758039429,234.8701282,-142.8630295
1.39,1.387632663,185.2166044,-99.77548989,1.42,1.612411504,193.6945647,-111.4886191,1.21,1.868717701,223.5884595,-131.601798
1.39,1.108552388,174.1835958,-113.6867741,1.36,1.578845139,207.3967865,-116.848792,1.16,1.943352136,206.6372947,-96.91485015
1.39,1.426367798,162.1895538,-105.4009506,1.35,1.609333428,213.2259384,-129.0838771,1.18,1.629719869,223.0872359,-128.3037734
1.34,1.15221021,182.2286539,-117.1600288,1.38,1.898535875,206.3868406,-125.852989,1.15,1.882656093,209.8230081,-124.7065595
1.37,0.870979051,153.2959854,-110.7566587,1.34,1.608416957,210.1417869,-129.8518018,1.17,1.626615333,228.1251487,-148.837742
1.38,1.4104827,178.5705567,-114.4558392,1.4,1.590931791,204.5361884,-104.7421582,1.15,1.777459064,224.0719309,-132.8983165
1.37,1.598482482,165.3153462,-117.6859507,1.37,1.975901709,223.7965456,-110.229913,1.15,2.099958722,222.9283375,-136.9315988
