F1,F2,F3,F4,
1.15,1.4135751,283.041203,-147.4456224,plantar
1.15,2.276321463,264.4628494,-136.4254814,plantar
1.12,2.12570633,277.221243,-146.9199654,plantar
1.13,2.266923923,273.2238223,-140.5253813,plantar
1.13,1.839172811,282.8568703,-139.8410348,plantar
1.15,1.768271496,258.2730094,-117.1914486,plantar
1.16,1.802564918,267.4312601,-133.975731,plantar
1.15,2.364954465,272.4464578,-154.0430156,plantar
1.16,2.35718774,272.5324026,-143.6063904,plantar
1.15,2.302703272,274.7748251,-140.4668397,plantar
1.16,1.898638657,279.1714689,-157.4841567,plantar
1.17,1.864934669,265.7393353,-145.2956334,plantar
1.15,1.887284235,262.9075557,-144.3581314,plantar
1.13,1.85712659,272.4997685,-158.9558236,plantar
1.15,1.791230521,266.9420778,-157.2347818,plantar
1.13,2.293830761,275.3669064,-164.4006878,plantar
1.14,1.787966203,260.1754238,-159.8110094,plantar
1.14,1.054584717,273.8322309,-152.9100612,plantar
1.15,1.796821265,269.6311666,-142.8475312,plantar
1.15,1.819036928,283.6210918,-148.815292,plantar
1.16,1.566578972,280.2307385,-136.9330919,plantar
1.15,1.504326979,284.75202,-143.6122878,plantar
1.13,1.948086219,277.5200677,-155.0857419,plantar
1.12,2.285765028,289.4947842,-135.8094183,plantar
1.16,1.785948063,274.6526994,-146.4150858,plantar
1.16,1.78095287,279.1213205,-139.3067399,plantar
1.15,1.931413533,273.4763557,-143.9242688,plantar
1.13,1.474475932,267.8672344,-144.9040418,plantar
1.13,1.567506702,292.831485,-157.106542,plantar
1.15,1.780808898,276.7168071,-148.6426437,plantar
1.16,1.76188501,271.510645,-142.9940835,plantar
1.16,1.835244003,273.8015614,-147.8107836,plantar
1.17,1.844642611,272.1323935,-147.7595756,plantar
1.17,2.199452564,284.9223787,-144.8020731,plantar
1.14,1.938327619,272.832038,-150.1762652,plantar
1.14,2.019851368,287.4640891,-157.6722645,plantar
1.18,1.8356827,269.9555342,-151.7118482,plantar
1.15,1.880569889,286.3075565,-150.8878043,plantar
1.14,2.419559962,266.9283459,-151.366339,plantar
1.14,2.084496211,274.482509,-150.0880613,plantar
1.13,1.328885855,288.0540252,-154.3858944,plantar
1.17,1.514390295,255.4709449,-143.6551191,plantar
1.17,2.102492505,261.775013,-149.634701,plantar
1.15,1.368767033,270.1106691,-153.801921,plantar
1.15,2.211177646,257.2011303,-164.5709825,plantar
1.15,2.254370824,266.3932666,-149.3240141,plantar
1.17,2.214373986,260.1071681,-141.4997877,plantar
1.15,1.915624378,275.5910343,-148.9521456,plantar
1.14,1.716676164,285.0401069,-126.8781899,plantar
1.13,1.950582764,282.6679287,-153.0621802,plantar
1.14,2.147937879,295.2282552,-154.9382018,plantar
1.14,1.574492148,288.2179683,-158.153119,plantar
